id_template,"nama_template","isi_teks_ekspertise"
11,"Blanko X-Ray Sinus Paranasal (Waters)","Klinis: ...\n\nSinus maxillaris:\n- Kanan: bersih / penebalan mukosa / air-fluid level / perselubungan\n- Kiri: bersih / penebalan mukosa / air-fluid level / perselubungan\n\nSinus frontalis:\n- Kanan dan kiri bersih\n\nOrbita:\n- Kedua dinding orbita intak\n- Tidak tampak fraktur dinding orbita\n\nTulang wajah:\n- Tidak tampak fraktur pada tulang wajah yang tervisualisasi\n\nKesan:\n- Tidak tampak kelainan bermakna pada sinus paranasal"
12,"Blanko IVP (Intravenous Pyelogram)","Klinis: ...\n\nFoto polos:\n- Tidak tampak batu radioopak di traktus urinarius\n- Psoas line simetris\n\nFase nefrogram (5 menit):\n- Kedua ginjal terisi kontras simetris\n\nFase pyelogram (15-30 menit):\n- Sistem pelviokalises kanan dan kiri tidak melebar\n- Tidak tampak filling defect\n\nUreter:\n- Ureter kanan dan kiri tidak melebar, tidak tampak filling defect\n\nBuli-buli:\n- Kontur reguler, tidak tampak filling defect\n- Post void residual minimal\n\nKesan:\n- IVP dalam batas normal"
13,"Blanko Oesofagografi","Klinis: ...\n\nOesofagus cervical:\n- Tidak tampak kelainan\n\nOesofagus thorakalis:\n- Mukosa reguler\n- Lumen tidak menyempit\n- Tidak tampak filling defect\n- Peristaltik normal\n- Tidak tampak indentasi ekstrinsik\n\nGastroesophageal junction:\n- Tidak tampak refluks\n- Tidak tampak hiatus hernia\n\nKesan:\n- Tidak tampak kelainan pada oesofagus"
14,"Blanko Histerosalpingografi (HSG)","Klinis: ...\n\nUterus:\n- Kavum uteri normal, bentuk segitiga reguler\n- Tidak tampak filling defect intrakaviter\n- Tidak tampak kelainan kontur uterus\n\nTuba fallopii kanan:\n- Tuba kanan terisi kontras, paten\n- Tampak spillage kontras ke rongga peritoneum kanan\n\nTuba fallopii kiri:\n- Tuba kiri terisi kontras, paten\n- Tampak spillage kontras ke rongga peritoneum kiri\n\nKesan:\n- Kedua tuba fallopii paten, tidak tampak kelainan bermakna"
15,"Blanko USG Abdomen Atas","Klinis: ...\n\nHepar:\n- Ukuran normal, permukaan reguler\n- Ekogenisitas parenkim homogen\n- Tidak tampak nodul/massa\n- Duktus bilier intrahepatik tidak melebar\n- Vena porta tidak melebar\n\nVesica fellea:\n- Ukuran normal, dinding tidak menebal\n- Tidak tampak batu/sludge\n\nDuktus choledochus:\n- Tidak melebar\n\nPankreas:\n- Ukuran normal, ekogenisitas homogen\n- Tidak tampak massa\n\nLien:\n- Ukuran normal, ekogenisitas homogen\n\nGinjal kanan:\n- Ukuran dan bentuk normal\n- Tidak tampak hidronefrosis, batu, maupun massa\n\nGinjal kiri:\n- Ukuran dan bentuk normal\n- Tidak tampak hidronefrosis, batu, maupun massa\n\nKesan:\n- USG abdomen atas dalam batas normal"
16,"Blanko USG Abdomen Lengkap","Klinis: ...\n\nHepar:\n- Ukuran normal, permukaan reguler, ekogenisitas homogen\n- Tidak tampak nodul/massa, duktus bilier intrahepatik tidak melebar\n\nVesica fellea & duktus choledochus:\n- Tidak tampak batu/sludge, dinding tidak menebal, duktus choledochus tidak melebar\n\nPankreas & lien:\n- Ukuran normal, ekogenisitas homogen, tidak tampak massa\n\nGinjal kanan:\n- Ukuran normal, tidak tampak hidronefrosis/batu/massa\n\nGinjal kiri:\n- Ukuran normal, tidak tampak hidronefrosis/batu/massa\n\nBuli-buli:\n- Dinding tidak menebal, tidak tampak batu/massa, residu minimal\n\nUterus & adneksa:\n- Uterus normal, tidak tampak massa adneksa kanan dan kiri\n\nCavum abdomen:\n- Tidak tampak ascites\n- Tidak tampak pembesaran KGB para-aorta\n\nKesan:\n- USG abdomen lengkap dalam batas normal"
17,"Blanko USG Pelvis / Ginekologi","Klinis: ...\n\nUterus:\n- Posisi: antefleksi / retrofleksi\n- Ukuran: ... x ... x ... cm\n- Ekogenisitas miometrium homogen, tidak tampak fibroid\n- Endometrium: tebal ... mm, reguler\n\nOvarium kanan:\n- Ukuran: ... x ... cm\n- Tidak tampak kista maupun massa\n\nOvarium kiri:\n- Ukuran: ... x ... cm\n- Tidak tampak kista maupun massa\n\nCavum Douglas:\n- Tidak tampak cairan bebas\n\nKesan:\n- USG pelvis dalam batas normal"
18,"Blanko USG Obstetri","Klinis: G...P...A..., HPHT: ..., UK klinis: ... minggu\n\nJanin:\n- Jumlah janin: tunggal / gemelli\n- Presentasi: kepala / bokong / lintang\n- DJJ: (+) reguler, ... x/menit\n- Gerak janin: aktif\n\nBiometri:\n- BPD: ... mm â†’ UK: ... minggu ... hari\n- HC: ... mm â†’ UK: ... minggu ... hari\n- AC: ... mm â†’ UK: ... minggu ... hari\n- FL: ... mm â†’ UK: ... minggu ... hari\n- UK rata-rata: ... minggu ... hari\n\nTaksiran Berat Janin (TBJ):\n- TBJ: ... gram (Hadlock)\n\nPlasenta:\n- Lokasi: anterior / posterior / fundal / lateral\n- Maturasi: Grade ...\n- Jarak tepi plasenta ke OUE: ... cm\n\nCairan amnion:\n- AFI: ... cm / SDP: ... cm\n\nKesan:\n- Hamil tunggal, janin hidup, presentasi kepala\n- UK ... minggu ... hari, TBJ ... gram\n- TTP: ..."
19,"Blanko USG Tiroid","Klinis: ...\n\nLobus kanan:\n- Ukuran: ... x ... x ... cm\n- Ekogenisitas: homogen / heterogen\n- Nodul: tidak tampak / tampak nodul ukuran ... mm, iso/hipo/hiperechoic, batas tegas/tidak, kalsifikasi -/+\n- TI-RADS: ...\n\nLobus kiri:\n- Ukuran: ... x ... x ... cm\n- Ekogenisitas: homogen / heterogen\n- Nodul: tidak tampak\n\nIsthmus:\n- Tebal ... mm, tidak tampak nodul\n\nKGB leher:\n- Tidak tampak pembesaran KGB leher patologis\n\nKesan:\n- Tiroid dalam batas normal / struma nodosa / tiroiditis\n- TI-RADS ..."
20,"Blanko USG Payudara","Klinis: ...\n\nPayudara kanan:\n- Komposisi: fatty / fibroglandular / dense\n- Tidak tampak massa / tampak massa:\n  - Lokasi: kuadran ..., jam ..., jarak dari nipple ... cm\n  - Ukuran: ... x ... mm\n  - Bentuk: oval / irregular / round\n  - Margin: sirkumskript / tidak tegas / spikula\n  - Ekogenisitas: anechoic / hipoechoic / isoechoic\n  - Posterior: none / enhancement / shadowing\n  - BI-RADS: ...\n\nPayudara kiri:\n- Tidak tampak massa\n\nAksila:\n- Tidak tampak KGB aksila patologis bilateral\n\nKesan:\n- BI-RADS ... kanan, BI-RADS ... kiri"
21,"Blanko USG Doppler Carotid","Klinis: ...\n\nACC kanan:\n- IMT: ... mm (normal < 0.9 mm)\n- Tidak tampak plak signifikan\n- PSV: ... cm/s\n\nACC kiri:\n- IMT: ... mm\n- PSV: ... cm/s\n\nACI kanan:\n- PSV: ... cm/s, tidak tampak stenosis bermakna\n\nACI kiri:\n- PSV: ... cm/s, tidak tampak stenosis bermakna\n\nArteri vertebralis:\n- Kanan: aliran anterograde normal\n- Kiri: aliran anterograde normal\n\nKesan:\n- Tidak tampak stenosis hemodinamik signifikan bilateral\n- IMT dalam batas normal / borderline / meningkat"
22,"Blanko Echocardiografi","Klinis: ...\n\nDimensi ruang jantung:\n- LVIDd: ... mm | LVIDs: ... mm\n- IVSd: ... mm | LVPWd: ... mm\n- LA: ... mm | Ao root: ... mm\n\nFungsi sistolik LV:\n- EF (Simpson): ...% | FS: ...%\n\nFungsi diastolik LV:\n- E/A: ... | DT: ... ms\n\nKatup-katup:\n- Mitral: tidak tampak stenosis/regurgitasi bermakna\n- Aorta: tidak tampak stenosis/regurgitasi, leaflet tidak menebal\n- Trikuspid: tidak tampak regurgitasi bermakna, RVSP: ... mmHg\n- Pulmonal: tidak tampak kelainan bermakna\n\nRWMA: tidak tampak\n\nPerikard: tidak tampak efusi\n\nKesan:\n- Fungsi sistolik LV normal, EF ...%\n- Tidak tampak kelainan katup bermakna\n- Tidak tampak efusi perikard"
23,"Blanko USG Guided Biopsi","Klinis: ...\nTarget: massa/lesi di ...\n\nProsedur:\n- Informed consent telah ditandatangani\n- Identifikasi target lesi dengan USG: ukuran ... x ... cm, lokasi ...\n- Anestesi lokal lidocain 2% ... cc\n- Biopsi dengan jarum ... G, ... core, pendekatan ...\n- Sampel: ... core jaringan, dikirim ke PA\n\nKomplikasi: tidak ada\n\nKesan:\n- Biopsi USG-guided berhasil dilakukan, sampel terkirim ke Patologi Anatomi"
24,"Blanko CT Scan Kepala Non Kontras","Klinis: ...\n\nParenkim otak:\n- Tidak tampak lesi hiperdens/hipodens abnormal\n- Tidak tampak midline shifting\n- Differensiasi grey-white matter baik\n- Tidak tampak edema serebri\n\nSistem ventrikel:\n- Tidak melebar, tidak tampak shift\n- Ventrikel III dan IV normal\n\nSulci dan fissura:\n- Normal / sedikit melebar sesuai usia\n\nCerebellum dan batang otak:\n- Tidak tampak kelainan\n- Cisterna basalis normal\n\nTulang calvaria:\n- Tidak tampak fraktur\n- Sinus paranasal dan mastoid yang tervisualisasi normal\n\nKesan:\n- CT scan kepala non kontras dalam batas normal"
25,"Blanko CT Scan Kepala Kontras","Klinis: ...\n\nPre-kontras:\n- Tidak tampak lesi hiperdens/hipodens abnormal\n- Tidak tampak midline shifting\n- Differensiasi grey-white matter baik\n\nPost-kontras:\n- Tidak tampak enhancement abnormal (ring/nodular/leptomeningeal)\n\nSistem ventrikel:\n- Tidak melebar, tidak tampak shift\n\nCerebellum dan batang otak:\n- Normal\n\nTulang:\n- Tidak tampak erosi/destruksi calvaria\n\nKesan:\n- Tidak tampak lesi intrakranial pre maupun post kontras"
26,"Blanko CT Scan Thorax Non Kontras","Klinis: ...\n\nParu (window paru):\n- Tidak tampak infiltrat, konsolidasi, ground glass opacity, maupun nodul\n- Tidak tampak efusi pleura\n- Tidak tampak pneumothorax\n\nMediastinum (window mediastinum):\n- Tidak melebar\n- Tidak tampak pembesaran KGB mediastinum\n- Jantung: ukuran normal\n- Aorta: kaliber normal\n\nDinding thorax dan tulang:\n- Tidak tampak destruksi tulang\n\nDiafragma:\n- Kedua hemidiafragma normal\n\nKesan:\n- CT scan thorax non kontras dalam batas normal"
27,"Blanko CT Scan Thorax HRCT","Klinis: ...\n\nDistribusi lesi: ...\n\nTemuan HRCT:\n- Ground glass opacity: tidak ada / ada, lokasi: ...\n- Konsolidasi: tidak ada / ada\n- Retikulasi: tidak ada / ada\n- Honeycombing: tidak ada / ada\n- Traksi bronkiektasis: tidak ada / ada\n- Nodul: tidak ada / ada (ukuran: ..., distribusi: sentrilobuler/perilimfatik/random)\n- Tree-in-bud: tidak ada / ada\n- Air trapping: tidak ada / ada\n- Emfisema: tidak ada / ada\n\nPleura:\n- Tidak tampak efusi pleura / penebalan pleura\n\nMediastinum:\n- Tidak tampak pembesaran KGB mediastinum\n\nKesan:\n- HRCT thorax dalam batas normal / gambaran sesuai dengan ..."
28,"Blanko CT Scan Abdomen + Pelvis Kontras","Klinis: ...\n\nHepar:\n- Ukuran normal, permukaan rata, parenkim homogen\n- Tidak tampak lesi fokal, duktus bilier intrahepatik tidak melebar\n\nVesica fellea & pankreas:\n- Tidak tampak batu/penebalan dinding\n- Pankreas normal, duktus pankreatikus tidak melebar\n\nLien:\n- Ukuran normal, enhancement homogen\n\nGinjal kanan:\n- Ukuran normal, enhancement kortikal normal\n- Tidak tampak hidronefrosis/batu/massa\n\nGinjal kiri:\n- Ukuran normal, enhancement kortikal normal\n- Tidak tampak hidronefrosis/batu/massa\n\nUreter:\n- Tidak tampak dilatasi ureter kanan dan kiri\n\nBuli-buli:\n- Dinding normal, tidak tampak massa/batu\n\nAorta dan pembuluh darah:\n- Kaliber normal, tidak tampak aneurisma\n\nKGB:\n- Tidak tampak pembesaran KGB patologis\n\nCairan bebas:\n- Tidak tampak ascites\n\nTulang:\n- Tidak tampak lesi litik/sklerotik\n\nKesan:\n- CT scan abdomen dan pelvis dengan kontras dalam batas normal"
29,"Blanko CT Scan Sinus Paranasal","Klinis: ...\n\nSinus maxillaris:\n- Kanan: bersih / penebalan mukosa / air-fluid level / perselubungan total\n- Kiri: bersih / penebalan mukosa\n\nSinus ethmoidalis:\n- Kanan: bersih / penebalan mukosa\n- Kiri: bersih\n\nSinus frontalis:\n- Kanan dan kiri bersih\n\nSinus sphenoidalis:\n- Kanan dan kiri bersih\n\nKompleks ostiomeatal (KOM):\n- Kanan: bebas / tampak sumbatan KOM\n- Kiri: bebas\n\nConcha nasalis:\n- Normal / hipertrofi konka inferior kanan dan kiri\n\nSeptum nasi:\n- Septum nasi di tengah / deviasi ke kanan/kiri\n\nTulang:\n- Tidak tampak erosi/destruksi dinding sinus\n\nKesan:\n- Sinusitis maksillaris / Pansinusitis / CT scan SPN dalam batas normal"
30,"Blanko CT Angiografi Koroner (CTCA)","Klinis: ...\n\nCoronary Calcium Score (Agatston): ...\n\nLeft Main (LM):\n- Paten, tidak tampak stenosis\n\nLAD:\n- Proksimal: tidak tampak stenosis / stenosis ...%\n- Mid: tidak tampak stenosis\n- Distal: tidak tampak stenosis\n- Diagonal 1 dan 2: tidak tampak stenosis bermakna\n\nLCx:\n- Proksimal: tidak tampak stenosis\n- Mid/distal: tidak tampak stenosis\n- OM 1 dan 2: tidak tampak stenosis bermakna\n\nRCA:\n- Proksimal: tidak tampak stenosis\n- Mid: tidak tampak stenosis\n- Distal: tidak tampak stenosis\n- PDA: tidak tampak stenosis\n\nNon-cardiac finding:\n- Tidak tampak kelainan bermakna struktur non-kardiak\n\nKesan:\n- Tidak tampak stenosis koroner bermakna\n- Coronary calcium score: ..."
31,"Blanko CT Scan Nasofaring Kontras","Klinis: ...\n\nNasofaring:\n- Tidak tampak massa di nasofaring\n- Fossa RosenmÃ¼ller kanan dan kiri simetris\n- Tidak tampak penebalan dinding posterior nasofaring\n\nOrofaring dan hipofaring:\n- Tidak tampak massa\n\nBasis cranii:\n- Tidak tampak erosi/destruksi basis cranii\n\nSinus paranasal:\n- Tidak tampak kelainan bermakna\n\nOrbita:\n- Tidak tampak infiltrasi ke orbita\n\nKGB leher:\n- Tidak tampak pembesaran KGB leher patologis di level I-VI\n\nKesan:\n- Tidak tampak massa di nasofaring\n- Tidak tampak pembesaran KGB leher patologis"
32,"Blanko CT Guided Biopsi","Klinis: ...\nTarget lesi: ...\n\nProsedur:\n- Informed consent telah ditandatangani\n- Posisi pasien: prone / supine / lateral\n- Lesi target: ukuran ... x ... cm, lokasi ...\n- Pendekatan: ...\n- Anestesi lokal lidocain 2% ... cc\n- Jarum biopsi ... G dikonfirmasi posisinya dengan CT guidance\n- Sampel: ... core jaringan, dikirim ke PA\n\nKomplikasi: tidak ada\nPost-prosedur X-ray (bila thorax): tidak tampak pneumothorax\n\nKesan:\n- CT-guided biopsy berhasil dilakukan tanpa komplikasi bermakna"
33,"Blanko MRI Otak Non Kontras","Klinis: ...\n\nParenkim otak:\n- Tidak tampak lesi fokal abnormal\n- Tidak tampak lesi hiperintens T2W/FLAIR yang abnormal\n- Tidak tampak restriksi difusi pada DWI\n- Differensiasi grey-white matter baik\n\nMidline:\n- Tidak tampak midline shifting\n\nSistem ventrikel:\n- Ukuran dan bentuk normal, tidak tampak obstruksi\n\nSulci dan fissura:\n- Normal / sedikit melebar sesuai usia\n\nCerebellum dan batang otak:\n- Tidak tampak kelainan, cisterna basalis normal\n\nStruktur sella:\n- Kelenjar hipofisis normal, tidak tampak massa\n\nKesan:\n- MRI otak non kontras dalam batas normal"
34,"Blanko MRI Otak Kontras","Klinis: ...\n\nPre-kontras:\n- Tidak tampak lesi fokal abnormal\n- Tidak tampak midline shifting\n- Tidak tampak restriksi difusi pada DWI\n\nPost-kontras:\n- Tidak tampak enhancement abnormal (ring/nodular/leptomeningeal/dural)\n\nSistem ventrikel:\n- Normal\n\nCerebellum dan batang otak:\n- Normal\n\nHipofisis:\n- Normal, tidak tampak penyangatan abnormal\n\nKesan:\n- Tidak tampak lesi intrakranial pre maupun post kontras"
35,"Blanko MRI Vertebra Lumbal","Klinis: ...\n\nAlignment:\n- Alignment vertebra L1-S1 baik, tidak tampak listhesis\n\nCorpus vertebra:\n- Tinggi dan sinyal corpus vertebra L1-S1 normal\n- Tidak tampak kompresi, fraktur, maupun lesi fokal\n\nDiscus intervertebralis:\n- L1-L2: normal\n- L2-L3: normal\n- L3-L4: normal\n- L4-L5: sinyal T2W normal / menurun (degeneratif), tidak tampak / tampak herniasi discus ...\n- L5-S1: normal / sedikit berkurang tingginya, tidak tampak / tampak herniasi discus ...\n\nConus medullaris:\n- Berakhir setinggi L1/L2, normal\n\nCanalis spinalis:\n- Diameter anteroposterior normal di semua level\n\nForamen intervertebralis:\n- Tidak tampak penyempitan foraminal bermakna\n\nKesan:\n- Tidak tampak kelainan bermakna pada MRI vertebra lumbal\n- / Disc bulging/protrusion ... menyebabkan ... stenosis canalis spinalis ..."
36,"Blanko MRI Vertebra Cervical","Klinis: ...\n\nAlignment:\n- Alignment vertebra C1-C7 baik / sedikit lurus (straightening)\n\nCorpus vertebra:\n- Tinggi dan sinyal corpus C1-C7 normal\n- Tidak tampak kompresi/fraktur/lesi fokal\n\nDiscus intervertebralis:\n- C2-C3 hingga C6-C7: sinyal normal / degeneratif\n- Tidak tampak / tampak herniasi discus di level: ...\n\nSpinal cord:\n- Sinyal medula spinalis normal di seluruh level\n- Tidak tampak kompresi kord bermakna\n\nCanalis spinalis:\n- Diameter anteroposterior adequate di semua level\n\nForamen intervertebralis:\n- Tidak tampak penyempitan foraminal bermakna\n\nKesan:\n- Tidak tampak kelainan bermakna pada MRI vertebra cervical"
37,"Blanko MRI Pelvis / Prostat","Klinis: ...\nPSA: ... ng/mL\n\nProstat:\n- Volume: ... cc\n- Zona perifer: sinyal T2W normal / heterogen, tidak tampak lesi hipointens\n- Zona transisi: normal / heterogen (BPH)\n- Lesi (bila ada):\n  - Lokasi: ..., sektor: ...\n  - T2W: hipointens\n  - DWI: restriksi (+/-), ADC: ... x 10â»Â³ mmÂ²/s\n  - DCE: early enhancement (+/-)\n  - PI-RADS v2.1: ...\n\nKapsul prostat:\n- Intak / tampak penonjolan ekstraprostatik di ...\n\nVesikula seminalis:\n- Normal, tidak tampak invasi\n\nKGB pelvis:\n- Tidak tampak pembesaran KGB iliak patologis\n\nTulang pelvis:\n- Tidak tampak lesi mencurigakan metastasis\n\nKesan:\n- Prostat ukuran normal / membesar\n- PI-RADS ... / Tidak tampak lesi mencurigakan keganasan"
38,"Blanko MRI Payudara","Klinis: ...\n\nBackground Parenchymal Enhancement (BPE): minimal / mild / moderate / marked\n\nPayudara kanan:\n- Densitas: A / B / C / D\n- Tidak tampak lesi / tampak:\n  - Tipe: massa / non-mass enhancement\n  - Lokasi: kuadran ..., jam ..., ... cm dari nipple\n  - Ukuran: ... x ... x ... mm\n  - Morfologi: oval / round / irregular\n  - Margin: smooth / irregular / spiculated\n  - Internal enhancement: homogeneous / heterogeneous / rim\n  - Kinetik: persistent / plateau / washout\n  - DWI: restriksi (+/-), ADC: ...\n  - BI-RADS MRI: ...\n\nPayudara kiri:\n- Tidak tampak lesi bermakna\n\nAksila:\n- Tidak tampak KGB aksila patologis bilateral\n\nKesan:\n- BI-RADS MRI ... kanan, BI-RADS MRI ... kiri"
39,"Blanko MRI Jantung (Cardiac MRI)","Klinis: ...\n\nMorfologi dan fungsi:\n- LV EDV: ... mL | LV ESV: ... mL\n- LV EF: ...% (normal â‰¥ 55%)\n- LV mass: ... g\n- RV EF: ...%\n\nWall motion:\n- Tidak tampak / tampak RWMA di: ...\n\nMiokardium:\n- Ketebalan dinding LV normal di semua segmen\n\nLate Gadolinium Enhancement (LGE):\n- Tidak tampak LGE\n- / Tampak LGE di ... (pola: subendokardial / transmural / midwall / epicardial)\n\nPerikard:\n- Tidak tampak efusi / penebalan perikard\n\nKatup:\n- Tidak tampak stenosis/regurgitasi bermakna\n\nKesan:\n- Fungsi sistolik LV normal, EF ...%\n- Tidak tampak LGE (tidak ada infark/fibrosis miokard)"
40,"Blanko MRI Sendi Lutut","Klinis: ...\n\nTulang:\n- Tidak tampak fraktur/kontusio oseus\n- Tidak tampak bone marrow edema\n\nKartilago:\n- Normal / tampak penipisan di ...\n\nMeniskus medial:\n- Tidak tampak robekan / tampak robekan grade ... di kornu anterior/posterior\n\nMeniskus lateral:\n- Tidak tampak robekan\n\nACL:\n- Intak, sinyal dan morfologi normal / tidak intak\n\nPCL:\n- Intak\n\nMCL dan LCL:\n- Intak bilateral\n\nTendon:\n- Tendon patellar dan quadriceps intak\n\nEfusi sendi:\n- Tidak tampak / tampak efusi minimal/sedang/banyak\n\nPopliteal fossa:\n- Tidak tampak kista Baker\n\nKesan:\n- Tidak tampak kelainan bermakna pada MRI sendi lutut ..."
41,"Blanko MRCP","Klinis: ...\n\nSaluran bilier intrahepatik:\n- Tidak tampak dilatasi duktus bilier intrahepatik kanan dan kiri\n\nDuktus hepatikus komunis:\n- Tidak melebar, tidak tampak filling defect/batu/striktur\n\nDuktus choledochus:\n- Tidak melebar, diameter ... mm\n- Tidak tampak batu / filling defect / striktur\n\nKandung empedu:\n- Tidak tampak batu/sludge, dinding tidak menebal\n\nDuktus pankreatikus:\n- Tidak melebar, diameter ... mm (normal < 3 mm)\n- Tidak tampak filling defect/striktur\n\nPankreas:\n- Ukuran normal, tidak tampak kista/massa\n\nKesan:\n- Tidak tampak pelebaran saluran bilier maupun duktus pankreatikus\n- Tidak tampak kolelithiasis / koledokolithiasis"
42,"Blanko Mammografi Bilateral","Klinis: ...\n\nKomposisi payudara:\n- ACR Type ...: ...\n\nPayudara kanan:\n- Tidak tampak massa / tampak massa di ... (ukuran ..., batas ..., densitas ...)\n- Tidak tampak kalsifikasi / tampak kalsifikasi di ... (morfologi ..., distribusi ...)\n- Tidak tampak asimetri / distorsi arsitektur\n- Kulit dan puting susu normal\n\nPayudara kiri:\n- Tidak tampak massa\n- Tidak tampak kalsifikasi\n- Kulit dan puting susu normal\n\nAksila:\n- Tidak tampak pembesaran KGB aksila kanan dan kiri\n\nKesan:\n- BI-RADS ... kanan, BI-RADS ... kiri\n- Rekomendasi: ..."
